RecordedDate,Q1.1,Q149,Q138,Q328_4_TEXT,Q328,Q1.3_17_TEXT,Q1.3,Q140,Q139,Q141,Q144,Q150,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q145_9,Q145_10,Q145_11,Q145_12,Q145_13,Q145_14,Q145_15,Q145_16,Q146_1,Q146_2,Q146_3,Q146_4,Q146_5,Q146_6,Q146_7,Q146_8,Q146_9,Q146_10,Q146_11,Q146_12,Q146_13,Q146_14,Q146_15,Q146_16,Q147,Q148,Gender,Age,Race,Race_8_TEXT
Recorded Date,What is your age?,Please rate how positive or negative you believe your professor’s feedback was.,Please rate how confident you believe your professor is in your abilities.,What gender identity do you most identify with? - Prefer to self-describe - Text,What gender identity do you most identify with? - Selected Choice,"What is your ethnicity?  Please mark the one choice that describes the ethnic category with which you primarily identify. - Some other ethnicity or origin, please specify: - Text",What is your ethnicity?  Please mark the one choice that describes the ethnic category with which you primarily identify. - Selected Choice,How positive or negative do you feel after this interaction with your professor?,How encouraging would you rate this feedback?,"You have room for one more class in your schedule next quarter. After the meeting with your professor, which of the following classes are you most likely to choose to take next quarter?","If your major (or the major you are most seriously considering if you are undecided) had only 100 students, where would you rank your standing in the major?",How likely would you be to go back to this professor for further feedback?,"Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel that I belong to my major’s community.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel like an outsider in my major.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel accepted in my major.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel respected.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel disregarded.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel valued.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel neglected.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel excluded.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel like I fit in.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel comfortable.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I wish I could fade into the background and not be noticed.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I try to say as little as possible.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I enjoy being an active participant.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I wish I were invisible.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I trust the testing materials to be unbiased.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I have trust that I do not have to constantly prove myself.",Click to write the question text - I trust my instructors to be committed to helping me learn.,"Click to write the question text - Even when I do poorly, I trust my instructors to have faith in my potential.",Click to write the question text - I worry my abilities aren’t good enough to do well in my major.,Click to write the question text - I often wonder if I have what it takes to succeed in my major.,Click to write the question text - I feel confident about my abilities in my major.,Click to write the question text - I sometimes feel like other students in my major have skills that I don’t.,"Click to write the question text - When I’m doing work in my major, I feel a sense of competence.",Click to write the question text - My major requires some abilities that I’m not sure I possess.,"Click to write the question text - I worry that no matter how hard I try, I won’t be able to perform successfully in my major.","Click to write the question text - When doing work in my major, I feel I have the skills that I need.",Click to write the question text - I’m not sure that I’m cut out for my major.,Click to write the question text - I have no doubts that I possess or can acquire the abilities my major requires.,Click to write the question text - I feel similar to the kinds of people who have what it takes to succeed in my major.,Click to write the question text - I’m not certain I “fit in” intellectually in my major.,Click to write the question text - There are many people in my major I could go to for help on a homework assignment.,"Click to write the question text - I am similar to most of the students in my classes (e.g. race, gender, socio-economic status etc.)","What is your major (or intended major, if undeclared)?",Which best describes you?,What is your gender?,How old are you? (enter the number),What does your racial/ethnic heritage include?(check all that apply) - Selected Choice,What does your racial/ethnic heritage include?(check all that apply) - Other - Text
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID222_TEXT""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID223_4_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224_17_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID253""}","{""ImportId"":""QID252""}","{""ImportId"":""QID254""}","{""ImportId"":""QID256""}","{""ImportId"":""QID255""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID257_4""}","{""ImportId"":""QID257_5""}","{""ImportId"":""QID257_6""}","{""ImportId"":""QID257_7""}","{""ImportId"":""QID257_8""}","{""ImportId"":""QID257_9""}","{""ImportId"":""QID257_10""}","{""ImportId"":""QID257_11""}","{""ImportId"":""QID257_12""}","{""ImportId"":""QID257_13""}","{""ImportId"":""QID257_14""}","{""ImportId"":""QID257_15""}","{""ImportId"":""QID257_16""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID258_2""}","{""ImportId"":""QID258_3""}","{""ImportId"":""QID258_4""}","{""ImportId"":""QID258_5""}","{""ImportId"":""QID258_6""}","{""ImportId"":""QID258_7""}","{""ImportId"":""QID258_8""}","{""ImportId"":""QID258_9""}","{""ImportId"":""QID258_10""}","{""ImportId"":""QID258_11""}","{""ImportId"":""QID258_12""}","{""ImportId"":""QID258_13""}","{""ImportId"":""QID258_14""}","{""ImportId"":""QID258_15""}","{""ImportId"":""QID258_16""}","{""ImportId"":""QID259_TEXT""}","{""ImportId"":""QID260""}","{""ImportId"":""QID32""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_8_TEXT""}"
2020-01-07 14:18:44,18,"4
Positive
",4,,Female,,Black or African American,4,4,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),4,4,1,4,4,1,5,1,1,4,4,1,1,5,1,5,2,5,5,5,5,1,1,2,5,5,5,5,1,3,5,4,4,psychology,U.S. Student,Female,18,"African,Hispanic/Latino",
2020-01-07 22:14:57,18,"2
Negative
",2,,Female,,White,"1
Very negative
",3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),"1
Very unlikely
",5,1,5,5,1,5,1,1,5,5,5,2,4,1,5,5,4,3,1,1,5,4,5,2,1,5,1,5,5,1,4,4,Psychology,U.S. Student,Female,18,Caucasian,
2020-01-08 12:38:45,19,"3
Neutral
","5
Very Confident
",,Male,,White,3,2,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"5
Very likely
",3,3,4,4,2,4,1,1,4,4,1,2,3,1,5,3,5,5,3,3,4,5,3,3,3,3,3,3,3,2,5,4,Biochemistry,U.S. Student,Male,19,Caucasian,
2020-01-08 18:07:54,19,"2
Negative
",2,,Female,,Asian,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,5,1,5,5,1,5,1,1,5,5,1,1,1,5,5,5,5,5,1,1,5,3,5,1,1,5,1,5,5,1,5,4,family human services,U.S. Student,Female,19,Asian or Pacific Islander,
2020-01-08 18:35:06,18,"2
Negative
",2,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the 30 worst students (70 other students are better than you),2,3,3,3,3,3,3,3,3,3,4,1,3,3,2,4,4,1,2,3,3,3,4,4,3,4,3,3,4,4,4,2,3,"General Social Science: Crime, Law, and Society",U.S. Student,Female,18,"Caucasian,Asian or Pacific Islander",
2020-01-08 19:44:17,18,"4
Positive
",3,,Female,,White,3,3,An easy class not in your major.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),3,1,5,2,3,2,2,3,2,1,2,4,4,3,5,4,4,4,3,5,4,2,4,2,4,4,2,5,2,2,4,1,4,human physiology (im changing),U.S. Student,Female,18,Caucasian,
2020-01-08 22:35:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 23:01:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 23:05:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09 12:18:48,20,"2
Negative
",2,,Female,,White,3,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),4,5,2,5,4,2,4,2,2,3,5,4,3,2,1,5,4,2,1,2,1,5,4,5,2,1,4,1,5,5,5,3,4,Human Physiology,U.S. Student,Female,20,Caucasian,
2020-01-09 15:46:42,19,"3
Neutral
",3,,Male,,White,3,3,An easy class in your major that doesn’t cover many new skills or much new material.,In the top 30 best students (Better than 70 other students),3,3,3,3,2,2,2,4,2,3,3,1,2,4,1,4,1,5,4,2,2,4,5,4,2,4,4,3,4,3,3,2,4,Journalism,U.S. Student,Male,19,Caucasian,
2020-01-09 16:43:36,18,"4
Positive
",3,,Female,,White,3,3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),3,4,2,3,3,2,4,2,2,4,4,3,1,4,1,4,3,4,3,4,4,4,1,5,2,1,5,1,4,5,2,4,3,public relations/journalism,U.S. Student,Female,18,Caucasian,
2020-01-09 17:11:21,19,"3
Neutral
","1
Not at all confident
",,Female,,Black or African American,2,3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"1
Very unlikely
",2,5,3,1,5,1,5,5,1,1,5,5,2,5,1,1,1,1,5,5,1,5,1,5,5,3,5,1,1,5,1,1,Psychology/biology,U.S. Student,Female,19,"African,Hispanic/Latino",
2020-01-09 20:12:13,20,"2
Negative
",2,,Female,"MIXED, BLACK AND WHITE ","Some other ethnicity or origin, please specify:","1
Very negative
",4,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 10 best students (Better than 90 other students),"1
Very unlikely
",5,1,5,4,2,4,1,3,3,3,1,2,5,1,2,1,5,4,4,2,4,2,4,2,4,4,1,2,4,1,5,1,LINGUISTICS,U.S. Student,Female,20,"Caucasian,African",
2020-01-09 21:42:07,20,"4
Positive
",4,,Female,,White,4,"5
Very Positive
",A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),4,2,3,4,4,2,3,3,3,4,3,1,3,2,1,3,2,4,2,2,3,4,3,5,2,2,4,3,4,4,2,3,4,biochemistry,U.S. Student,Female,20,Caucasian,
2020-01-10 14:28:27,20,"2
Negative
",2,,Female,,Asian,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,4,1,5,4,2,4,1,2,5,5,1,1,5,1,4,4,5,4,2,3,4,3,5,3,2,4,2,4,5,2,4,2,Family and Human Services,U.S. Student,Female,20,Asian or Pacific Islander,
2020-01-10 15:21:48,,"2
Negative
",3,,Male,nop[e,"Some other ethnicity or origin, please specify:",3,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the 10 worst students (90 other students are better than you),2,3,2,3,2,3,2,3,4,3,2,3,2,3,2,2,3,2,3,2,3,4,3,2,3,4,3,3,4,3,2,3,3,psy,U.S. Student,Male,20,African,
2020-01-10 17:14:58,19,"3
Neutral
",3,,Male,,Asian,2,3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),4,4,2,4,3,3,3,3,3,3,3,2,2,4,1,4,4,4,3,2,1,3,4,3,2,1,3,2,4,4,2,4,3,Family and Human Services,U.S. Student,Male,19,Asian or Pacific Islander,
2020-01-10 18:39:19,18,"2
Negative
",3,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),2,2,2,3,3,4,2,2,2,3,3,2,2,4,2,4,3,5,4,4,5,3,4,3,4,5,3,3,3,2,2,4,4,Human Physiology,U.S. Student,Female,18,Caucasian,
2020-01-11 01:20:03,23,"3
Neutral
","5
Very Confident
",,Female,,Asian,"5
Very Positive
",4,An easy class in your major that doesn’t cover many new skills or much new material.,In the top 30 best students (Better than 70 other students),"5
Very likely
",5,1,5,5,1,5,1,5,5,5,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Music,U.S. Student,Female,23,Asian or Pacific Islander,
2020-01-11 20:48:53,19,"3
Neutral
",3,,Female,,White,3,3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),3,4,2,4,4,2,4,2,4,4,5,2,2,3,2,4,3,4,4,5,5,2,5,3,4,5,3,5,1,4,3,4,5,human physiology,U.S. Student,Female,19,Caucasian,
2020-01-12 19:58:00,20,"2
Negative
",3,,Male,,White,3,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),4,4,2,3,4,2,4,2,2,4,2,4,3,2,2,3,4,4,4,3,2,4,3,4,2,1,4,2,5,4,2,3,3,"Psychology ",U.S. Student,Male,20,Caucasian,
2020-01-12 21:55:47,19,"2
Negative
",2,,Male,,White,2,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 10 best students (Better than 90 other students),2,3,3,3,4,2,3,2,2,3,4,3,3,3,3,4,4,4,3,2,2,4,2,4,3,2,3,2,4,4,2,2,3,Human Physiology,U.S. Student,Male,19,Caucasian,
2020-01-12 21:57:04,21,"3
Neutral
",3,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 5 best students (Better than 95 other students),3,5,1,5,5,1,4,3,3,5,5,3,1,5,2,3,2,3,2,2,2,4,2,4,2,1,4,1,3,4,2,3,3,Philosophy,U.S. Student,Female,21,Caucasian,
2020-01-13 01:39:14,18,"1
Very Negative
","1
Not at all confident
",,Female,,Asian,2,"1
Very encouraging
",A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"1
Very unlikely
",,,,4,1,3,1,1,3,3,1,1,3,1,3,2,4,3,3,3,3,4,4,3,1,2,1,2,2,2,2,2,cinema studies,U.S. Student,Female,18,"Caucasian,Asian or Pacific Islander",
2020-01-13 01:48:22,18,"3
Neutral
",3,,Female,Wasian - Scottish/English/American/Chinese,"Some other ethnicity or origin, please specify:",3,2,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"5
Very likely
",3,3,3,3,1,3,1,1,3,4,2,3,3,2,5,5,5,5,2,2,3,3,5,5,4,3,3,4,3,2,5,3,Psychology,U.S. Student,Female,18,"Caucasian,Asian or Pacific Islander",
2020-01-13 16:17:35,19,"3
Neutral
",3,,Female,,White,3,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Exploring,U.S. Student,Female,19,Caucasian,
2020-01-13 17:21:26,19,"2
Negative
","1
Not at all confident
",,Female,,White,"1
Very negative
",2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),"1
Very unlikely
",5,2,4,4,2,4,2,2,4,4,2,2,4,1,4,4,4,2,3,3,4,4,4,2,2,4,2,4,4,2,4,3,Human Physiology,U.S. Student,Female,19,Caucasian,
2020-01-13 20:34:45,20,"4
Positive
",3,,Female,,Asian,3,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),4,3,3,4,4,1,3,1,1,4,4,2,2,3,1,4,4,5,5,4,5,4,4,2,4,4,2,2,3,4,2,4,2,Communications Disorders and Sciences,U.S. Student,Female,20,Asian or Pacific Islander,
2020-01-13 21:05:47,19,"5
Very Positive
",3,,Male,,White,3,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 5 best students (Better than 95 other students),3,4,3,3,3,4,5,5,2,2,3,3,4,4,,2,1,3,3,4,3,3,2,4,4,5,5,2,3,3,4,3,3,Human Phys,U.S. Student,Male,19,Caucasian,
2020-01-13 22:58:33,20,"2
Negative
",2,,Male,,White,"1
Very negative
",3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 10 best students (Better than 90 other students),"1
Very unlikely
",5,1,5,5,3,3,1,1,5,5,1,4,4,1,2,2,4,4,1,1,5,3,4,4,1,3,1,4,3,1,1,4,PSY,U.S. Student,Male,20,Caucasian,
2020-01-14 10:31:55,19,"2
Negative
",3,,Female,,Asian,2,2,An easy class not in your major.,In the top 30 best students (Better than 70 other students),2,2,4,3,3,3,1,1,2,1,1,5,5,2,4,5,1,3,2,5,5,1,1,3,5,5,2,5,2,2,5,5,5,Human Physiology,U.S. Student,Female,19,"Caucasian,Asian or Pacific Islander",
2020-01-14 15:41:07,18,"4
Positive
",3,,Female,,Middle Eastern or North African,3,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,4,2,3,4,2,3,2,2,4,4,2,3,4,1,2,2,4,3,2,4,4,3,4,2,3,5,1,5,4,1,3,4,Psychology,U.S. Student,Female,18,Arab,
2020-01-14 16:01:32,19,"2
Negative
","1
Not at all confident
",,Female,,White,"1
Very negative
",3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),2,5,1,5,5,1,5,1,1,5,5,1,1,5,1,5,4,5,5,2,2,4,1,5,1,1,5,1,5,5,1,5,5,FHS,U.S. Student,Female,19,Caucasian,
2020-01-14 18:21:34,26,"2
Negative
",3,,Female,,Asian,2,2,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,2,4,3,4,3,3,1,3,2,2,1,2,4,1,5,3,5,5,2,1,4,4,5,1,1,4,2,4,4,2,2,1,Computer Science,U.S. Student,,,,
2020-01-14 18:50:11,18,"2
Negative
",2,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),3,4,2,4,3,3,3,2,2,4,4,2,4,4,2,4,3,4,3,3,2,3,4,4,3,2,4,2,3,4,2,3,4,"Psychology ",U.S. Student,Female,18,Caucasian,
2020-01-14 21:22:08,19,"3
Neutral
",4,,Female,,"Hispanic, Latinx or Spanish Origin",4,3,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"5
Very likely
",4,1,4,5,1,4,1,1,4,3,3,2,4,1,4,3,4,3,1,3,4,3,4,4,2,4,1,3,4,2,2,4,Family and Human Services,U.S. Student,Female,19,Hispanic/Latino,
2020-01-14 22:44:46,19,"3
Neutral
",3,,Female,,Asian,4,4,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),4,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,anthropology,International Student,Female,19,Asian or Pacific Islander,
2020-01-15 16:50:46,23,"1
Very Negative
","1
Not at all confident
",,Female,,Middle Eastern or North African,"1
Very negative
",3,An easy class in your major that doesn’t cover many new skills or much new material.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"1
Very unlikely
",1,5,3,4,1,3,1,1,2,3,4,4,2,3,4,4,4,4,4,4,2,5,3,4,2,3,3,2,2,4,4,4,Human Physiology,U.S. Student,Female,23,"Asian or Pacific Islander,Arab",
2020-01-15 18:27:05,19,"1
Very Negative
",2,,Female,,White,"1
Very negative
",2,An easy class in your major that doesn’t cover many new skills or much new material.,In the top 30 best students (Better than 70 other students),"1
Very unlikely
",5,1,5,5,1,5,1,1,5,4,2,3,4,1,5,1,4,4,5,5,2,5,5,5,5,5,4,3,2,5,5,4,Human Physiology,U.S. Student,Female,19,Caucasian,
2020-01-16 12:09:30,20,"2
Negative
","1
Not at all confident
",,Female,,White,"1
Very negative
",2,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"1
Very unlikely
",3,2,4,4,2,4,2,2,4,4,2,3,3,2,3,3,3,4,3,3,3,3,3,2,2,4,2,4,4,2,4,4,psychology,U.S. Student,Female,20,Caucasian,
2020-01-16 13:12:45,19,"2
Negative
",2,,Female,,White,2,4,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 10 best students (Better than 90 other students),"1
Very unlikely
",4,2,4,3,2,4,1,1,5,5,2,3,3,2,4,4,5,4,2,2,5,3,5,3,1,4,1,5,5,1,3,4,Education,U.S. Student,Female,19,Caucasian,
2020-01-16 16:53:27,20,"3
Neutral
",2,,Female,,White,2,2,An easy class in your major that doesn’t cover many new skills or much new material.,In the top 30 best students (Better than 70 other students),2,4,2,4,3,2,4,2,2,4,4,1,1,4,1,4,4,4,4,4,4,3,4,2,3,2,4,1,3,4,2,2,4,"Psychology  ",U.S. Student,Female,20,Caucasian,
2020-01-17 13:56:21,18,"2
Negative
",2,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 10 best students (Better than 90 other students),3,4,2,4,3,1,3,1,1,4,4,3,2,4,3,4,4,4,3,2,2,4,2,4,2,2,4,2,4,4,2,3,4,Romance Languages,U.S. Student,Female,18,Caucasian,
